"","mmgene","type","alias"
"375","Iars","old symbol","Iars1"
"376","Ick","old symbol","Cilk1"
"377","Id3","synonym","Or1j21"
"378","Ikbkap","old symbol","Elp1"
"379","Il25","old symbol","Mydgf"
"381","Impad1","old symbol","Bpnt2"
"382","Inf2","synonym","inft2"
"384","Iqca","old symbol","Iqca1"
"385","Ispd","old symbol","Crppa"
"386","Kars","old symbol","Kars1"
"387","Kcne1l","old symbol","Kcne5"
"389","Kdelc1","old symbol","Poglut2"
"390","Kdelc2","old symbol","Poglut3"
"391","Kirrel","old symbol","Kirrel1"
"395","Klk8","old symbol","Klk1b8"
"396","Kras","synonym","Tg(Fabp2-KRAS*Val12)#Jig"
"397","Krt83","old symbol","Krt87"
"400","Lars","old symbol","Lars1"
"402","Lck","synonym","Tg(LCK-NFKBIA)5Dwb"
"403","Ldb3","synonym","Ldb2"
"404","Ldoc1l","old symbol","Rtl6"
"408","Lrmp","old symbol","Irag2"
"410","Lrrc29","old symbol","Fbxl9"
"411","Lrrc6","old symbol","Dnaaf11"
"415","Maats1","old symbol","Cfap91"
"416","Mag","synonym","Mtag2"
"417","Mageb16","old symbol","Mageb16-ps1"
"421","Marc1","old symbol","Mtarc1"
"423","March1","old symbol","Marchf1"
"424","March10","old symbol","Marchf10"
"425","March2","old symbol","Marchf2"
"426","March3","old symbol","Marchf3"
"427","March4","old symbol","Marchf4"
"428","March5","old symbol","Marchf5"
"429","March6","old symbol","Marchf6"
"430","March7","old symbol","Marchf7"
"431","March8","old symbol","Marchf8"
"432","March9","old symbol","Marchf9"
"433","Mars","old symbol","Mars1"
"434","Mb21d1","old symbol","Cgas"
"437","Mcm2","old symbol","Mchm2"
"442","Mettl7a1","old symbol","Tmt1a"
"443","Mettl7b","old symbol","Tmt1b"
"446","Mgea5","old symbol","Oga"
